Номенклатура;ТМ;Артикул;Тип упаковки;Ссылка на сайт;Состав;Под заказ;Длина 1 штуки (см);Ширина 1 штуки (см);Высота 1 штуки (см);Длина 1 упаковки (см);Ширина 1 упаковки (см);Высота 1 упаковки (см);Примечание;Минимум заказа;Кратность заказа;Фасовка;Единица измерения;Картинка;Оптовая цена;Вес в граммах;Страна
;;;;;;;;;;;;;;;;;;;;;
Игрушки;;;;;;;;;;;;;;;;;;;;;
Мягкая игрушка;;;;;;;;;;;;;;;;;;;;;
Интерьерные игрушки;;;;;;;;;;;;;;;;;;;;;
"Мягкая игрушка ""Заяц"", висячие лапки 1047976";;1047976;Пакет;https://www.sima-land.ru/1047976;текстиль;Нет;70.0;12.0;12.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892134/0/700.jpg;280.00;315;Китай
"Мягкая игрушка ""Киса"", цветочки на животике 1047985";;1047985;Пакет;https://www.sima-land.ru/1047985;текстиль;Нет;30.0;9.0;18.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892142/0/700.jpg;210.00;370;Китай
"Мягкая игрушка ""Курочка"", висячие лапки 1047977";;1047977;Пакет;https://www.sima-land.ru/1047977;текстиль;Нет;30.0;9.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892170/0/700.jpg;263.00;200;Китай
"Мягкая игрушка ""Лошадка"" коричневая цветная грива 511060";;511060;Пакет;https://www.sima-land.ru/511060;поролон, песок, текстиль;Нет;8.0;21.0;24.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/340857/0/700.jpg;175.00;143;Китай
"Мягкая игрушка ""Лошадка"" коричневая цветная грива 511061";;511061;Пакет;https://www.sima-land.ru/511061;поролон, песок, текстиль;Нет;9.0;30.0;33.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/340858/0/700.jpg;253.00;283;Китай
"Мягкая игрушка ""Лошадка"" цветная грива 511122";;511122;Пакет;https://www.sima-land.ru/511122;поролон, песок, текстиль;Нет;8.0;21.0;24.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/340919/0/700.jpg;175.00;129;Китай
"Мягкая игрушка ""Лошадка"" цветная грива 511123";;511123;Пакет;https://www.sima-land.ru/511123;поролон, песок, текстиль;Нет;9.0;30.0;33.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/340920/0/700.jpg;175.00;283;Китай
"Мягкая игрушка зайка ""Мишутка Lu""";;2694951;коробка;https://www.sima-land.ru/2694951;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055312/0/700.jpg;418.00;130;Китай
"Мягкая игрушка ""Мышка"", зеленые носочки 1047902";;1047902;Пакет;https://www.sima-land.ru/1047902;текстиль;Нет;50.0;9.0;11.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892152/0/700.jpg;225.00;166;Китай
"Мягкая игрушка ""Разноцветный апельсин""";;1015843;Пакет;https://www.sima-land.ru/1015843;текстиль;Нет;37.0;37.0;7.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/812008/0/700.jpg;340.00;274;Китай
"Мягкая игрушка ""Сова"", полосатые лапки 1047917";;1047917;Пакет;https://www.sima-land.ru/1047917;дерево, текстиль;Нет;27.0;7.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892186/0/700.jpg;198.00;98;Китай
"Мягкая игрушка ""Сова"", розовые пуговицы 1047904";;1047904;Пакет;https://www.sima-land.ru/1047904;текстиль;Нет;26.0;8.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892137/0/700.jpg;175.00;400;Китай
"Мягкая игрушка ""Сова"", розовый воротничок 1047903";;1047903;Пакет;https://www.sima-land.ru/1047903;текстиль;Нет;26.0;8.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892155/0/700.jpg;199.00;373;Китай
"Мягкая игрушка ""Совушка"", выразительные брови 1047973";;1047973;Пакет;https://www.sima-land.ru/1047973;текстиль;Нет;33.0;15.0;30.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892159/0/700.jpg;290.00;473;Китай
"Мягкая игрушка ""Совушка"", желтые крылья 1047922";;1047922;Пакет;https://www.sima-land.ru/1047922;текстиль;Нет;25.0;6.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892183/0/700.jpg;143.50;126;Китай
"Мягкая игрушка ""Совушка"", животик в горох 1047912";;1047912;Пакет;https://www.sima-land.ru/1047912;текстиль;Нет;21.0;12.0;18.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892168/0/700.jpg;187.00;320;Китай
"Мягкая игрушка ""Совушка"", животик в клетку 1047910";;1047910;Пакет;https://www.sima-land.ru/1047910;текстиль;Нет;20.0;9.0;20.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892215/0/700.jpg;175.00;310;Китай
"Мягкая игрушка ""Совушка"", зеленая бабочка 1047909";;1047909;Пакет;https://www.sima-land.ru/1047909;текстиль;Нет;21.0;10.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892099/0/700.jpg;150.00;299;Китай
"Мягкая игрушка ""Совушка"", зеленые лапки 1047907";;1047907;Пакет;https://www.sima-land.ru/1047907;текстиль;Нет;34.0;9.0;19.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892136/0/700.jpg;175.00;274;Китай
"Мягкая игрушка ""Совушка"", зеленые платок 1047921";;1047921;Пакет;https://www.sima-land.ru/1047921;текстиль;Нет;27.0;7.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892129/0/700.jpg;160.00;164;Китай
"Мягкая игрушка ""Совушка"", зеленые пуговицы 1047919";;1047919;Пакет;https://www.sima-land.ru/1047919;текстиль;Нет;31.0;8.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892126/0/700.jpg;205.00;249;Китай
"Мягкая игрушка ""Совушка"", зеленый животик 1047908";;1047908;Пакет;https://www.sima-land.ru/1047908;текстиль;Нет;23.0;10.0;20.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892150/0/700.jpg;162.00;270;Китай
"Мягкая игрушка ""Совушка"", крылья в горошек 1047906";;1047906;Пакет;https://www.sima-land.ru/1047906;текстиль;Нет;48.0;9.0;19.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892180/0/700.jpg;175.00;338;Китай
"Мягкая игрушка ""Совушка"", крылья на пуговках 1047972";;1047972;Пакет;https://www.sima-land.ru/1047972;текстиль;Нет;25.0;10.0;22.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892158/0/700.jpg;140.00;246;Китай
"Мягкая игрушка ""Совушка"", платок в горох 1047920";;1047920;Пакет;https://www.sima-land.ru/1047920;текстиль;Нет;27.0;7.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892138/0/700.jpg;150.00;164;Китай
"Мягкая игрушка ""Совушка"", полосатая 1047970";;1047970;Пакет;https://www.sima-land.ru/1047970;текстиль;Нет;33.0;9.0;19.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892177/0/700.jpg;210.00;315;Китай
"Мягкая игрушка ""Совушка"", полосатые крылья 1047974";;1047974;Пакет;https://www.sima-land.ru/1047974;текстиль;Нет;24.0;11.0;20.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892156/0/700.jpg;180.00;262;Китай
"Мягкая игрушка ""Совушка"", полосатые лапки 1047905";;1047905;Пакет;https://www.sima-land.ru/1047905;текстиль;Нет;34.0;9.0;19.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892128/0/700.jpg;213.00;317;Китай
"Мягкая игрушка ""Совушка"", розовые пуговицы 1047918";;1047918;Пакет;https://www.sima-land.ru/1047918;текстиль;Нет;31.0;8.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892127/0/700.jpg;193.00;300;Китай
"Мягкая игрушка ""Совушка"", синие лапки 1047923";;1047923;Пакет;https://www.sima-land.ru/1047923;текстиль;Нет;25.0;6.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892100/0/700.jpg;135.00;121;Китай
"Мягкая игрушка ""Совушка"", оранжевый клюв";;1047911;Пакет;https://www.sima-land.ru/1047911;текстиль;Нет;19.0;9.0;19.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892098/0/700.jpg;150.00;315;Китай
"Подушка-игрушка ""Срез осины""";;1015845;Пакет;https://www.sima-land.ru/1015845;текстиль;Нет;37.0;37.0;7.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/812006/0/700.jpg;315.00;280;Китай
"Основа для творчества и декорирования, мягкая игрушка ""Зая"" 1543558";;1543558;Пакет;https://www.sima-land.ru/1543558;синтепон, текстиль;Нет;4.0;12.0;23.0;4.0;12.0;23.0;;3;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1514123/0/700.jpg;62.85;32;Китай
"Основа для творчества и декорирования, мягкая игрушка ""Медвежонок"" 1543559";;1543559;Пакет;https://www.sima-land.ru/1543559;синтепон, текстиль;Нет;4.5;16.0;26.0;4.5;16.0;26.0;;3;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1514124/0/700.jpg;65.45;78;Китай
"Подушка-вывернушка 2 в 1 ""Лавандовый Единорог, Щенок Йорк""";1TOY;3653850;Пакет;https://www.sima-land.ru/3653850;плюш;Нет;;;;42.0;22.0;18.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3035784/0/700.jpg;1 399.00;425;Китай
"Подушка-вывернушка 2 в 1 ""Лев, Обезьянка""";1TOY;3653847;Пакет;https://www.sima-land.ru/3653847;плюш;Нет;;;;40.0;15.0;23.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3035782/0/700.jpg;1 399.00;470;Китай
"Подушка-вывернушка 2 в 1 ""Радужный Тролль, Блестящий Щенок""";1TOY;3653846;Пакет;https://www.sima-land.ru/3653846;плюш;Нет;;;;43.0;14.0;22.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3035781/0/700.jpg;1 399.00;425;Китай
"Подушка-вывернушка 2 в 1 ""Разноцветный Тролль-Салатовый даркон"", МИКС";1TOY;3653849;Пакет;https://www.sima-land.ru/3653849;плюш;Нет;;;;42.0;15.0;24.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3151604/0/700.jpg;1 399.00;430;Китай
"Подушка-вывернушка 2 в 1 ""Хаски, Полярный медведь""";1TOY;3653848;Пакет;https://www.sima-land.ru/3653848;плюш;Нет;;;;41.0;15.0;22.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3035783/0/700.jpg;1 399.00;440;Китай
"Подушка-вывернушка 2 в 1 ""Белый Единорог, Розовая Кошечка"" 2 в 1";1TOY;3653845;Пакет;https://www.sima-land.ru/3653845;плюш;Нет;;;;43.0;14.0;22.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3035780/0/700.jpg;1 399.00;390;Китай
"Сувенир ""Сердечко с пушком красное""";;108970;Бумажная упаковка;https://www.sima-land.ru/108970;керамика, текстиль;Нет;3.0;9.0;11.5;;;;;2;не менее минимума;8;шт;http://cdn2.static1-sima-land.com/items/16515/0/700.jpg;29.65;100;Китай
"Сувенир ""Сердечко с пушком полосатое""";;108971;Бумажная упаковка;https://www.sima-land.ru/108971;керамика, текстиль;Нет;4.0;14.0;17.0;;;;;2;не менее минимума;8;шт;http://cdn2.static1-sima-land.com/items/16516/0/700.jpg;53.13;310;Китай
"Сувенир ""Сердечко с пушком цветное""";;108972;Бумажная упаковка;https://www.sima-land.ru/108972;керамика, текстиль;Нет;4.0;14.0;17.0;;;;;2;не менее минимума;8;шт;http://cdn2.static1-sima-land.com/items/16517/0/700.jpg;49.90;350;Китай
"Сувенир ""Сердечко с пушком яркое""";;108969;Картонная коробка;https://www.sima-land.ru/108969;керамика, текстиль;Нет;3.0;9.0;11.5;;;;;2;не менее минимума;8;шт;http://cdn2.static1-sima-land.com/items/16514/0/700.jpg;29.65;110;Китай
Сувенир «Милая улиточка», молочная юбочка, ручная работа, 10 см, микс 3272201;;3272201;Без упаковки;https://www.sima-land.ru/3272201;текстиль;Нет;;;10.0;3.5;12.0;18.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2759721/0/700.jpg;221.00;24;Россия
Сувенир «Милая улиточка», розовая юбочка, ручная работа, 10 см, микс 3272202;;3272202;Без упаковки;https://www.sima-land.ru/3272202;текстиль;Нет;;;10.0;3.5;12.0;18.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2759722/0/700.jpg;221.00;20;Россия
Сувенир «Милая улиточка», синяя юбочка, ручная работа, 10 см, микс 3272200;;3272200;Без упаковки;https://www.sima-land.ru/3272200;текстиль;Нет;;;10.0;3.5;11.0;18.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2759720/0/700.jpg;221.00;22;Россия
"Сувенир вязаный ""Заяц без капюшона"" в голубом, 30 см 3516845";;3516845;Пакет;https://www.sima-land.ru/3516845;микрополиэстер, холлофайбер;Нет;;;;27.0;13.0;10.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031306/0/700.jpg;2 631.37;173;Россия
"Сувенир вязаный ""Заяц без капюшона"" в розовом, 30 см 3516844";;3516844;Пакет;https://www.sima-land.ru/3516844;микрополиэстер, холлофайбер;Нет;;;;10.0;18.0;27.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031305/0/700.jpg;2 631.37;200;Россия
"Сувенир вязаный ""Заяц в капюшоне"" жёлтом, 40 см 3516842";;3516842;Пакет;https://www.sima-land.ru/3516842;микрополиэстер, холлофайбер;Нет;;;;30.0;12.0;14.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031303/0/700.jpg;3 362.31;291;Россия
"Сувенир вязаный ""Заяц в капюшоне"" фуксиевом, 40см 3516843";;3516843;Пакет;https://www.sima-land.ru/3516843;микрополиэстер, холлофайбер;Нет;;;;30.0;12.0;14.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031304/0/700.jpg;3 362.31;292;Россия
"Сувенир вязаный ""Заяц лиловый"" с розовым бантом,  40см  3516846";;3516846;Пакет;https://www.sima-land.ru/3516846;микрополиэстер, холлофайбер;Нет;;;;13.0;17.0;32.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031307/0/700.jpg;3 362.31;294;Россия
"Сувенир вязаный ""Кот бежевый Красный нос с сердцем"" в бело-красном, 30 см 3516838";;3516838;Пакет;https://www.sima-land.ru/3516838;микрополиэстер, холлофайбер;Нет;;;;11.0;15.0;31.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029107/0/700.jpg;3 362.32;248;Россия
"Сувенир вязаный ""Кот бежевый с голубым ошейником"" в сине-желтом, 30 см 3516839";;3516839;Пакет;https://www.sima-land.ru/3516839;микрополиэстер, холлофайбер;Нет;;;;32.0;15.0;11.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029106/0/700.jpg;3 654.69;286;Россия
"Сувенир вязаный ""Кот с ошейником"" горчичный, 30 см 3516836";;3516836;Пакет;https://www.sima-land.ru/3516836;микрополиэстер, холлофайбер;Нет;;;;12.0;18.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031301/0/700.jpg;3 654.68;218;Россия
"Сувенир вязаный ""Кот серый с бантиком и ошейником"" в розовом, 30 см 3516837";;3516837;Пакет;https://www.sima-land.ru/3516837;микрополиэстер, холлофайбер;Нет;;;;10.0;13.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031302/0/700.jpg;3 654.68;240;Россия
"Сувенир вязаный ""Мишка-малыш с сердцем"" синий, 30см  3516832";;3516832;Пакет;https://www.sima-land.ru/3516832;микрополиэстер, холлофайбер;Нет;;;;28.0;14.0;10.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029111/0/700.jpg;2 631.37;165;Россия
"Сувенир вязаный ""Мишка-малыш с сердцем"" сиреневый, 30см 3516833";;3516833;Пакет;https://www.sima-land.ru/3516833;микрополиэстер, холлофайбер;Нет;;;;28.0;14.0;10.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029110/0/700.jpg;2 631.37;176;Россия
"Сувенир вязаный ""Мишка-пухляш с оранж.цветком"" 40см 3516835";;3516835;Пакет;https://www.sima-land.ru/3516835;микрополиэстер, холлофайбер;Нет;;;;32.0;17.0;11.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029108/0/700.jpg;3 362.32;293;Россия
"Сувенир вязаный ""Мишка-пухляш с сердцем"" 40см 3516834";;3516834;Пакет;https://www.sima-land.ru/3516834;микрополиэстер, холлофайбер;Нет;;;;32.0;17.0;11.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029109/0/700.jpg;3 362.32;266;Россия
"Сувенир вязаный ""Поросёнок с жёлудем"" бежевый, 30 см 3516829";;3516829;Пакет;https://www.sima-land.ru/3516829;микрополиэстер, холлофайбер;Нет;;;;27.0;15.0;13.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031298/0/700.jpg;2 923.74;233;Россия
"Сувенир вязаный ""Поросенок с ошейником"" розовый, 30 см 3516831";;3516831;Пакет;https://www.sima-land.ru/3516831;микрополиэстер, холлофайбер;Нет;;;;14.0;14.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3031300/0/700.jpg;3 654.68;239;Россия
"Сувенир вязаный ""Собака желтая с коричневым"" желтый бант, 20 см 3516840";;3516840;Пакет;https://www.sima-land.ru/3516840;микрополиэстер, холлофайбер;Нет;;;;20.0;14.0;16.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3029105/0/700.jpg;2 631.37;206;Россия
